Token,Symbol
1,GOLDSTAR
7,AARTIIND
13,ABB
19,STYRENIX
22,ACC
25,ADANIENT
27,GATECHDVR
34,ADORWELD
40,AEGISCHEM
46,SANWARIA
48,HAPPSTMNDS
51,RELIABLE
79,ALEMBICLTD
81,BETA
99,CMMIPL
100,ARE&M
104,SHAREINDIA
117,OMFURN
128,ROUTE
136,ANDHRSUGAR
143,SRPL
144,GODREJAGRO
154,APCOTEXIND
157,APOLLOHOSP
159,MILTON
163,APOLLOTYRE
166,ANDHRAPAP
181,ARENTERP
184,TCPLPACK
193,ARVIND
199,MASFIN
201,UNIDT
203,ASHAPURMIN
206,ASHIMASYN
212,ASHOKLEY
220,IEX
235,AAKASH
236,ASIANPAINT
245,ADL
255,NIRAJ
263,ATUL
270,CHEMCON
275,AUROPHARMA
277,GICRE
278,AUTOAXLES
305,BAJAJHLDNG
308,BAJAJHIND
312,TIINDIA
317,BAJFINANCE
324,ANGELONE
330,VALIANTORG
335,BALKRISIND
338,BALMLAWRIE
341,BALRAMCHIN
342,CAMS
347,BANARBEADS
350,BANARISUG
357,NAM-INDIA
366,ROML
368,BASF
371,BATAINDIA
380,BBTC
381,SINTERCOM
383,BEL
385,MAHLOG
393,GLOBE
395,BEML
399,NIACL
404,BERGEPAINT
419,BEPL
422,BHARATFORG
425,KHADIM
426,BHARATGEAR
436,IFGLEXPOR
438,BHEL
445,5PAISA
467,HDFCLIFE
471,OSWALGREEN
474,3MINDIA
477,BIRLACABLE
480,BIRLACORPN
483,AISL
489,ICEMAKE
495,BLUEDART
507,PULZ
509,MAZDOCK
513,BOMDYEING
526,BPCL
527,UTIAMC
530,BPL
547,BRITANNIA
553,RELINFRA
559,BSL
573,FELIX
578,LIKHITHA
583,CANFINHOME
592,GRAPHITE
595,CARBORUNIV
619,CENTENKA
625,CENTURYTEX
628,CESC
634,IGARASHI
637,CHAMBLFERT
638,SUULD
641,DNAMEDIA
666,INNOVANA
676,EXIDEIND
685,CHOLAFIN
694,CIPLA
701,HEMIPROP
703,DICIND
708,SHRADHA
714,SHALBY
715,HEUBACHIND
739,COROMANDEL
742,COSMOFIRST
757,CRISIL
760,CGPOWER
772,DABUR
781,DALMIASUG
804,SHIVATEX
805,DCM
809,BSHSL
811,DCMSHRIRAM
817,DCW
827,DEEPAKFERT
828,BANKA
850,SMVD
857,DHAMPURSUG
880,ASTRON
881,DRREDDY
896,KHAICHEM
910,EICHERMOT
913,EQUITASBNK
916,EIDPARRY
919,EIHOTEL
926,ORCHPHARMA
928,ELECTCAST
936,DPABHUSHAN
937,ELGIEQUIP
940,PGHL
955,ESABINDIA
958,ESCORTS
967,SUBEXLTD
981,EPL
993,EVERESTIND
1008,FACT
1011,SCHAEFFLER
1023,FEDERALBNK
1030,AARON
1038,FINCABLES
1041,FINPIPE
1053,UFLEX
1073,FOSECOIND
1076,ZENSARTECH
1085,GABRIEL
1100,GARFIBRES
1110,DANGEE
1127,GHCL
1134,APOLLO
1135,GTECJAINX
1139,GICHSGFIN
1142,GINNIFILA
1145,GIPCL
1153,GLAXO
1164,NEWGEN
1168,GMBREW
1174,GNFC
1181,GODFRYPHLP
1185,AMBER
1186,GLAND
1190,FMGOETZE
1196,KANSAINER
1214,DELTAMAGNT
1216,PRAXIS
1231,SOLEX
1232,GRASIM
1235,GREAVESCOT
1247,GSFC
1250,CASTROLIND
1267,GUJALKALI
1270,AMBUJACEM
1274,VASA
1289,GFLLIMITED
1313,HARRMALAYA
1315,GALAXYSURF
1328,MARINE
1333,HDFCBANK
1336,HEG
1348,HEROMOTOCO
1360,HIMATSEIDE
1363,HINDALCO
1372,HINDCOMPOS
1375,HCC
1394,HINDUNILVR
1401,SUPREMEENG
1403,HINDOILEXP
1406,HINDPETRO
1412,AGI
1417,GLOBAL
1424,HINDZINC
1426,MHHL
1442,SANOFI
1455,HIL
1465,ACCURACY
1467,AKZOINDIA
1476,IDBI
1480,REPL
1482,IFBAGRO
1485,IFBIND
1491,IFCI
1494,RBA
1497,SHIVAMILLS
1508,ASTERDM
1512,INDHOTEL
1515,INDIACEM
1521,INDIAGLYCO
1530,INDIANHUME
1547,RKEC
1565,RVHL
1570,GMMPFAUDLR
1576,GILLETTE
1581,TARC
1593,MGEL
1594,INFY
1597,INGERRAND
1607,GODHA
1614,FAIRCHEMOR
1624,IOC
1627,LINDEINDIA
1628,BECTORFOOD
1630,IONEXCHANG
1633,IPCALAB
1660,ITC
1663,ATFL
1672,HGINFRA
1675,ITI
1681,IVP
1708,JAYBARMARU
1720,JAYSREETEA
1726,JBCHEPHARM
1756,JINDALPOLY
1782,KANPRPLA
1797,AWHCL
1805,KABRAEXTRU
1808,KAJARIACER
1811,KAKATCEM
1814,KPIL
1826,KAMATHOTEL
1835,KANORICHEM
1838,KARURVYSYA
1841,KCP
1859,KESORAMIND
1879,CARYSIL
1901,CUMMINSIND
1919,KOPRAN
1922,KOTAKBANK
1923,WEALTH
1937,KREBSBIO
1949,KSB
1964,TRENT
1979,LAXMIMACH
1994,LIBERTSHOE
1997,LICHSGFIN
2004,AHLADA
2018,LUMAXIND
2028,LYKALABS
2029,IRFC
2031,M&M
2043,RAMCOCEM
2048,INDIGOPNTS
2049,CHENNPETRO
2056,HOMEFIRST
2073,VTL
2085,MAHSCOOTER
2088,MAHSEAMLES
2106,MANGLMCEM
2107,STOVEKRAFT
2112,MARALOVER
2124,MASTEK
2132,MDL
2142,MFSL
2144,BDL
2171,RAJMET
2176,AKG
2181,BOSCHLTD
2183,SUNDARMHLD
2188,GENCON
2202,MIRCELECTR
2256,PENINLAND
2259,MOREPENLAB
2263,BANDHANBNK
2268,MOTOGENFIN
2275,IRISDOREME
2277,MRF
2283,MRPL
2289,HLEGLAS
2294,MTNL
2303,HAL
2306,BESTAGRO
2307,MUNJALSHOW
2313,MURUDCERA
2316,HEIDELBERG
2319,NCC
2320,SMCGLOBAL
2331,JAYNECOIND
2350,NURECA
2354,KBCGLOBAL
